id,title,department,location,recruiter,status,band
J149,QA Engineer,Engineering,Mumbai,Bob,Open,L2
J150,Marketing Specialist,Marketing,Chennai,Bob,Filled,L3
J151,Marketing Specialist,Marketing,Pune,Emma,Filled,L5
J152,Cloud Engineer,Engineering,Mumbai,Emma,Filled,L1
J153,Talent Acquisition Specialist,HR,Hyderabad,Bob,Filled,L2
J154,SEO Analyst,Marketing,Mumbai,David,Filled,L2
J155,Content Strategist,Marketing,Pune,Emma,Filled,L1
J156,NLP Engineer,AI,Chennai,Alice,Open,L2
J157,Marketing Specialist,Marketing,Pune,Grace,Open,L1
J158,Data Scientist,AI,Mumbai,Alice,Filled,L5
J159,Talent Acquisition Specialist,HR,Bangalore,Alice,Open,L1
J160,Financial Analyst,Finance,Bangalore,Bob,Open,L5
J161,UI/UX Designer,Product,Bangalore,David,Filled,L2
J162,Product Manager,Product,Bangalore,Frank,Filled,L4
J163,Account Manager,Sales,Bangalore,Bob,Open,L1
J164,Operations Executive,Operations,Bangalore,Henry,Open,L2
J165,Sales Executive,Sales,Bangalore,Grace,Open,L1
J166,SEO Analyst,Marketing,Mumbai,Grace,Filled,L5
J167,Financial Analyst,Finance,Hyderabad,Emma,Open,L3
J168,Frontend Developer,Engineering,Mumbai,Grace,Open,L3
J169,UI/UX Designer,Product,Mumbai,Bob,Open,L5
J170,Account Manager,Sales,Hyderabad,Grace,Open,L5
J171,Account Manager,Sales,Pune,Bob,Filled,L3
J172,Finance Executive,Finance,Hyderabad,Emma,Open,L4
J173,Accountant,Finance,Chennai,Carol,Open,L4
J174,HR Manager,HR,Mumbai,Emma,Open,L1
J175,SEO Analyst,Marketing,Bangalore,Grace,Filled,L5
J176,Accountant,Finance,Pune,Henry,Filled,L5
J177,Support Engineer,Operations,Bangalore,Bob,Open,L5
J178,Financial Analyst,Finance,Bangalore,Emma,Open,L2
J179,HR Executive,HR,Hyderabad,David,Filled,L5
J180,NLP Engineer,AI,Pune,David,Filled,L4
J181,Project Coordinator,Operations,Bangalore,Carol,Filled,L1
J182,NLP Engineer,AI,Bangalore,Carol,Filled,L5
J183,Operations Executive,Operations,Mumbai,David,Filled,L1
J184,Operations Executive,Operations,Pune,Frank,Filled,L4
J185,UI/UX Designer,Product,Pune,Carol,Filled,L4
J186,Project Coordinator,Operations,Bangalore,Emma,Filled,L5
J187,Support Engineer,Operations,Bangalore,Emma,Open,L3
J188,Account Manager,Sales,Chennai,Frank,Filled,L1
J189,HR Executive,HR,Bangalore,Grace,Filled,L2
J190,NLP Engineer,AI,Pune,Frank,Open,L4
J191,Backend Developer,Engineering,Pune,Grace,Filled,L5
J192,DevOps Engineer,Engineering,Pune,Henry,Open,L3
J193,SEO Analyst,Marketing,Pune,David,Open,L3
J194,Product Analyst,Product,Hyderabad,Grace,Open,L4
J195,Talent Acquisition Specialist,HR,Bangalore,Alice,Filled,L5
J196,Frontend Developer,Engineering,Pune,Carol,Filled,L2
J197,Full Stack Developer,Engineering,Pune,Frank,Open,L3
J198,Accountant,Finance,Chennai,Grace,Open,L1
J199,Operations Executive,Operations,Mumbai,Alice,Filled,L3
J200,Business Development Executive,Sales,Hyderabad,Alice,Filled,L2
J201,Sales Executive,Sales,Mumbai,Carol,Open,L4
J202,Computer Vision Engineer,AI,Bangalore,Henry,Filled,L3
J203,HR Manager,HR,Mumbai,Bob,Filled,L2
J204,Marketing Specialist,Marketing,Mumbai,Alice,Filled,L5
J205,Product Analyst,Product,Bangalore,Bob,Open,L2
J206,ML Engineer,AI,Mumbai,Bob,Filled,L5
J207,Full Stack Developer,Engineering,Mumbai,Grace,Filled,L1
J208,Financial Analyst,Finance,Pune,Henry,Open,L3
J209,Support Engineer,Operations,Bangalore,Grace,Open,L5
J210,Content Strategist,Marketing,Mumbai,Henry,Open,L5
J211,SEO Analyst,Marketing,Bangalore,Bob,Open,L4
J212,Account Manager,Sales,Mumbai,Grace,Open,L4
J213,Financial Analyst,Finance,Pune,David,Open,L3
J214,Accountant,Finance,Mumbai,Emma,Open,L5
J215,Sales Executive,Sales,Bangalore,Grace,Open,L2
J216,Support Engineer,Operations,Pune,Henry,Filled,L1
J217,Marketing Specialist,Marketing,Pune,David,Open,L5
J218,Accountant,Finance,Mumbai,Frank,Open,L5
J219,Accountant,Finance,Pune,Emma,Open,L2
J220,Data Scientist,AI,Chennai,Bob,Filled,L2
J221,Sales Executive,Sales,Pune,Emma,Filled,L5
J222,Marketing Specialist,Marketing,Bangalore,Emma,Open,L2
J223,Marketing Specialist,Marketing,Mumbai,Carol,Open,L1
J224,Content Strategist,Marketing,Bangalore,Henry,Open,L1
J225,SEO Analyst,Marketing,Pune,Henry,Open,L1
J226,SEO Analyst,Marketing,Hyderabad,Bob,Open,L1
J227,Backend Developer,Engineering,Bangalore,Emma,Open,L2
J228,Computer Vision Engineer,AI,Pune,David,Filled,L4
